tmc_code,hwycov_id,overlap_length
106-12868,8650,101.6373007
106N04965,12261,293.7160304
106N04966,12261,103.7981179
106N04967,859,193.8549246
106N04967,860,426.3472867
106N04967,619,608.5438465
106N04967,27743,576.7278624
106N04968,27155,1790.91366
106N04968,27888,173.8353578
106N04969,27860,146.6755837
106N04969,27887,2314.083641
106N04969,27888,275.7037299
106N04970,27879,1028.274097
106N04970,27865,579.9645707
106N04970,27872,221.9465195
106N04970,27867,102.1197321
106N04970,27866,130.46533
106N04970,27878,904.9009023
106N04970,27864,509.5190701
106N04971,27901,266.516283
106N04971,27902,1475.100597
106N04972,27843,686.0048465
106N04972,27844,151.9068894
106N04973,27915,1488.533732
106N04973,27918,232.0939868
106N04974,27923,153.2824725
106N04974,27924,340.2832827
106N04975,10595,152.8553807
106N04975,27928,1598.829907
106N04975,27930,329.1060218
106N04976,10603,150.0672604
106N04976,27934,1778.145875
106N04977,27940,150.0059679
106N04978,27945,720.1013969
106N04978,27952,155.0957745
106N04979,28700,313.8789539
106N04979,27951,738.4530549
106N04979,27952,113.3264958
106N04980,28706,150.0490632
106N04981,27136,205.6470897
106N04981,28712,332.5900459
106N04981,28716,606.823433
106N04981,28717,165.8616745
106N04982,28717,406.1960705
106N04983,28725,179.0603469
106N04983,28722,871.0127441
106N04984,20717,623.0010555
106N04985,10318,129.0068492
106N04985,27779,695.2040902
106N04985,27783,319.6787754
106N04985,27784,357.4808032
106N04985,27781,877.2988164
106N04985,20713,464.9076339
106N04985,20717,115.2559828
106N04986,4398,192.8567425
106N04986,15664,175.9349651
106N04986,28737,376.8911311
106N04986,28738,172.3744379
106N04986,15667,178.860007
106N04986,28745,100.8676769
106N04986,20711,485.0497607
106N04987,16693,118.146921
106N04987,27261,636.5470928
106N04987,30853,475.5923537
106N04987,27789,558.3310189
106N04987,30842,111.7079025
106N04987,30865,173.8592407
106N04987,30860,364.2703084
106N04988,27795,341.1580528
106N04989,3722,119.8671366
106N04989,10395,134.173414
106N04989,27817,152.8929621
106N04989,27821,359.1783364
106N04989,27827,680.8636323
106N04989,27131,142.6535459
106N04989,27824,116.1476999
106N04989,20705,582.3548232
106N04989,20706,138.40371
106N04989,20709,632.0469746
106N04990,27835,165.1976293
106N04990,27834,340.8077964
106N04991,20701,237.3026747
106N04992,2766,235.8264057
106N04992,20700,876.9099335
106N04994,2763,107.6937932
106N04995,10968,712.0253183
106N04995,10969,270.3498092
106N04995,20588,157.3101625
106N04995,20694,191.7969802
106N04995,20693,173.3953714
106N04996,30813,513.5661655
106N04996,30817,1059.594593
106N04997,27265,549.8355545
106N04997,27524,459.2408262
106N04997,20440,150.2071304
106N04997,20685,171.3183409
106N04998,28041,174.9870723
106N04998,8791,1009.397485
106N04998,8789,141.9474668
106N04998,8793,136.1865283
106N04999,8784,1301.57297
106N04999,8786,682.0653352
106N04999,8787,237.2412668
106N05000,10886,363.6930227
106N05000,20684,134.5126368
106N05001,8780,254.2796723
106N05001,26017,116.9612661
106N05003,28474,227.74088
106N05003,28475,178.9145146
106N05003,28853,773.0588195
106N05003,28470,149.0236797
106N05003,2752,354.4160464
106N05003,12009,116.4555706
106N05003,26065,210.0675998
106N05004,10883,317.4892821
106N05004,15014,163.631811
106N05004,28855,713.050252
106N05004,8777,1517.929007
106N05006,4514,156.9615692
106N05006,15040,669.1762747
106N05006,28034,181.2816055
106N05006,9252,492.2465143
106N05006,15041,394.8686847
106N05007,28033,520.7656017
106N05007,14286,500.5797099
106N05007,9241,192.7269117
106N05008,8897,229.4595787
106N05008,25911,123.7364609
106N05008,9254,436.2832149
106N05008,25879,107.1067991
106N05008,14263,1629.013154
106N05009,28793,486.560135
106N05009,16170,209.9916658
106N05009,29559,255.033846
106N05009,14263,238.2286353
106N05010,26417,620.1034996
106N05011,14253,508.1674645
106N05011,29570,116.001256
106N05012,29571,216.7135519
106N05012,29492,338.0216091
106N05012,25381,389.9001796
106N05012,29573,146.3943362
106N05012,29577,272.2436729
106N05013,14247,1086.927311
106N05013,782,1393.849957
106N05014,13601,483.8696698
106N05014,30056,179.0797902
106N05014,26294,558.8815947
106N05014,13598,546.9195592
